Date,Heart rate(count/min)
2024-07-17 10:01:55,94.000
2024-07-17 10:04:38,92.000
2024-07-17 10:07:16,91.000
2024-07-17 10:10:19,71.000
2024-07-17 10:12:05,68.000
2024-07-17 10:13:45,67.000
2024-07-17 10:18:28,64.000
2024-07-17 10:26:59,64.000
2024-07-17 10:29:21,70.000
2024-07-17 10:37:53,68.000
2024-07-17 10:42:13,66.000
2024-07-17 10:48:14,67.000
2024-07-17 10:51:08,65.000
2024-07-17 10:54:08,61.000
2024-07-17 10:59:38,65.000
2024-07-17 11:07:11,62.000
2024-07-17 11:10:53,63.000
2024-07-17 11:15:37,62.000
2024-07-17 11:19:46,60.000
2024-07-17 11:25:25,66.000
2024-07-17 11:32:11,68.000
2024-07-17 11:37:35,64.000
2024-07-17 11:42:47,62.000
2024-07-17 11:44:27,62.000
2024-07-17 11:48:31,64.030
2024-07-17 11:49:21,64.000
2024-07-17 11:53:34,68.000
2024-07-17 11:59:37,60.000
2024-07-17 12:03:39,60.000
2024-07-17 12:08:52,69.000
2024-07-17 12:11:27,68.000
2024-07-17 12:17:08,62.000
2024-07-17 12:21:17,63.000
2024-07-17 12:25:01,65.000
2024-07-17 12:30:54,57.000
2024-07-17 12:37:22,63.000
2024-07-17 12:38:57,61.000
2024-07-17 12:44:23,66.000
2024-07-17 12:50:32,61.000
2024-07-17 12:56:35,62.000
2024-07-17 13:01:01,76.000
2024-07-17 13:04:10,60.000
2024-07-17 13:09:10,61.000
2024-07-17 13:14:15,60.000
2024-07-17 13:21:52,61.000
2024-07-17 13:23:43,61.000
2024-07-17 13:30:13,60.000
2024-07-17 13:35:37,62.000
2024-07-17 13:43:05,63.000
2024-07-17 13:44:46,60.000
2024-07-17 13:50:37,62.000
2024-07-17 13:54:58,63.000
2024-07-17 13:57:19,77.000
2024-07-17 13:59:39,79.000
2024-07-17 14:02:09,81.000
2024-07-17 14:05:18,75.000
2024-07-17 14:06:24,69.000
2024-07-17 14:12:12,65.000
2024-07-17 14:16:11,63.000
2024-07-17 14:22:04,67.000
2024-07-17 14:25:35,68.000
2024-07-17 14:28:54,67.000
2024-07-17 14:38:25,66.000
2024-07-17 14:41:32,65.000
2024-07-17 14:46:03,66.000
2024-07-17 14:52:15,65.000
2024-07-17 14:54:45,68.000
2024-07-17 15:03:01,66.000
2024-07-17 15:08:25,68.000
2024-07-17 15:10:13,69.000
2024-07-17 15:15:17,68.000
2024-07-17 15:21:15,68.000
2024-07-17 15:25:03,69.805
2024-07-17 15:25:24,68.000
2024-07-17 15:29:59,68.000
2024-07-17 15:35:14,67.000
2024-07-17 15:38:32,68.000
2024-07-17 15:44:26,87.000
2024-07-17 15:46:46,88.000
2024-07-17 15:48:55,92.000
2024-07-17 15:51:07,104.000
2024-07-17 15:52:04,103.000
2024-07-17 15:52:06,106.000
2024-07-17 15:52:13,105.000
2024-07-17 15:52:15,106.000
2024-07-17 15:52:20,106.000
2024-07-17 15:52:25,106.000
2024-07-17 15:55:42,88.000
2024-07-17 15:56:45,102.000
2024-07-17 15:56:50,101.000
2024-07-17 15:56:51,102.000
2024-07-17 15:56:56,101.000
2024-07-17 15:57:05,110.000
2024-07-17 15:57:10,113.000
2024-07-17 15:57:14,113.000
2024-07-17 15:57:16,113.000
2024-07-17 15:57:23,112.000
2024-07-17 15:57:29,110.000
2024-07-17 15:57:34,106.000
2024-07-17 15:57:36,101.000
2024-07-17 15:57:55,80.000
2024-07-17 15:58:00,80.000
2024-07-17 15:58:04,79.000
2024-07-17 15:58:10,80.000
2024-07-17 15:58:15,83.000
2024-07-17 15:58:17,81.000
2024-07-17 15:58:25,77.000
2024-07-17 15:58:30,78.000
2024-07-17 15:58:31,78.000
2024-07-17 15:58:40,76.000
2024-07-17 15:58:41,76.000
2024-07-17 15:58:46,78.000
2024-07-17 16:02:32,79.000
2024-07-17 16:09:06,81.000
2024-07-17 16:17:29,70.000
2024-07-17 16:20:13,66.000
2024-07-17 16:31:10,67.000
2024-07-17 16:33:51,67.000
2024-07-17 16:43:55,73.000
2024-07-17 16:50:54,99.000
2024-07-17 16:50:59,100.000
2024-07-17 16:51:00,101.000
2024-07-17 16:51:05,104.000
2024-07-17 16:51:14,96.000
2024-07-17 16:51:17,99.000
2024-07-17 16:51:20,102.000
2024-07-17 16:51:28,102.000
2024-07-17 16:51:30,102.000
2024-07-17 16:51:39,103.000
2024-07-17 16:51:40,103.000
2024-07-17 16:51:47,105.000
2024-07-17 16:51:53,105.000
2024-07-17 16:51:59,107.000
2024-07-17 16:52:01,108.000
2024-07-17 16:53:04,76.000
2024-07-17 16:58:01,72.000
2024-07-17 17:01:24,84.000
2024-07-17 17:07:36,70.000
2024-07-17 17:12:16,83.000
2024-07-17 17:17:27,80.000
2024-07-17 17:20:30,68.000
2024-07-17 17:23:27,66.000
2024-07-17 17:33:23,73.000
2024-07-17 17:34:58,72.000
2024-07-17 17:43:11,76.000
2024-07-17 17:47:14,71.000
2024-07-17 17:51:20,70.000
2024-07-17 17:56:55,55.000
2024-07-17 17:58:41,70.000
2024-07-17 18:07:33,78.000
2024-07-17 18:11:50,79.000
2024-07-17 18:18:13,74.000
2024-07-17 18:20:30,77.000
2024-07-17 18:24:43,95.000
2024-07-17 18:28:46,86.000
2024-07-17 18:37:01,98.000
2024-07-17 18:42:14,69.000
2024-07-17 18:43:27,70.000
2024-07-17 18:49:17,69.000
2024-07-17 18:58:25,70.000
2024-07-17 19:02:48,69.000
2024-07-17 19:03:51,71.000
2024-07-17 19:09:02,71.000
2024-07-17 19:14:11,68.000
2024-07-17 19:17:01,67.912
2024-07-17 19:19:49,69.000
2024-07-17 19:24:40,70.000
2024-07-17 19:28:26,70.000
2024-07-17 19:35:51,72.000
2024-07-17 19:41:37,71.000
2024-07-17 19:43:26,70.000
2024-07-17 19:49:59,70.000
2024-07-17 19:54:19,68.000
2024-07-17 19:58:37,68.000
2024-07-17 20:08:24,67.000
2024-07-17 20:09:29,68.000
2024-07-17 20:14:08,67.000
2024-07-17 20:21:30,67.000
